Date,Time,Type,To/From,Amount,Message
2025-06-15,10:00 AM,Debit,Amazon,699,Shopping
2025-06-16,6:30 PM,Credit,Freelance Client,3000,Design Work
2025-06-17,8:45 PM,Debit,Zomato,299,Dinner
2025-06-18,9:00 AM,Debit,Uber,150,Travel
2025-06-19,5:00 PM,Debit,Swiggy,230,Lunch

2025-07-20,9:00 AM,Debit,Amazon,799,Shopping
2025-07-20,1:30 PM,Credit,Ritika Roy,2000,UPI Refund
2025-07-21,8:00 PM,Debit,Swiggy,250,Food
2025-07-21,11:00 AM,Debit,Electricity Board,1450,Bill
2025-07-22,3:45 PM,Credit,Office Reimburse,3000,Travel
2025-07-22,5:00 PM,Debit,Zomato,400,Lunch
2025-07-23,9:30 AM,Debit,Netflix,500,Entertainment
2025-07-23,10:30 AM,Debit,Amazon,1200,Electronics
2025-07-24,4:00 PM,Debit,Swiggy,185,Snacks
2025-07-24,7:15 PM,Credit,Mom,2000,Family Help
2025-07-25,6:00 PM,Debit,Rahul Bose,300,Split Bill
2025-07-26,10:00 AM,Debit,Amit Sharma,700,Friend Transfer
2025-07-26,8:45 PM,Debit,Spotify,199,Entertainment
2025-07-27,12:00 PM,Debit,Flipkart,999,Shopping
2025-07-27,3:00 PM,Credit,Freelance Work,4500,Payment
2025-07-28,1:30 PM,Debit,Ritika Roy,500,UPI Refund

2025-08-01,10:00 AM,Debit,Amazon,849,Groceries
2025-08-01,8:00 PM,Debit,Zomato,310,Dinner
2025-08-02,9:45 AM,Credit,Freelancer Payment,2000,Work
2025-08-02,6:30 PM,Debit,Swiggy,230,Snacks
2025-08-03,1:00 PM,Credit,Dad,1500,Family Help
2025-08-03,9:00 PM,Debit,BookMyShow,400,Movie Tickets
2025-08-04,11:30 AM,Debit,Myntra,1250,Shopping
2025-08-04,3:15 PM,Debit,Uber,180,Travel
2025-08-05,12:00 PM,Debit,Ajio,999,Clothes
2025-08-05,4:30 PM,Credit,Friend,700,Return Money
2025-08-06,10:30 AM,Debit,Spotify,199,Subscription
2025-08-06,7:45 PM,Debit,KFC,550,Dinner
2025-08-07,2:00 PM,Credit,College,2500,Stipend
2025-08-07,5:00 PM,Debit,Flipkart,1800,Electronics

2025-09-01,10:00 AM,Debit,Big Bazaar,1200,Groceries
2025-09-02,4:15 PM,Credit,Freelance Project,4000,Web Dev
2025-09-03,6:30 PM,Debit,Swiggy,220,Dinner
2025-09-04,9:00 AM,Debit,OLA,180,Travel
2025-09-05,7:00 PM,Debit,Netflix,199,Entertainment
