Date,Time,Type,To/From,Amount,Message
2025-07-25,10:15 AM,Debit,Amit Sharma,250.0,Food
2025-07-25,12:30 PM,Credit,Ritika Roy,500.0,UPI Refund
2025-07-26,9:45 AM,Debit,Swiggy,180.5,Snacks
2025-07-26,8:20 PM,Debit,Electricity Board,1200.0,Bill
2025-07-27,3:15 PM,Credit,Office Reimburse,2000.0,Travel
2025-07-27,6:10 PM,Debit,Kunal Dey,400.0,Dinner
2025-07-28,1:30 PM,Debit,Zomato,210.75,Lunch
2025-07-28,4:45 PM,Credit,Rahul Bose,300.0,Split Bill
2025-07-29,11:00 AM,Debit,Netflix,499.0,Entertainment
2025-07-29,2:00 PM,Debit,Mom,1000.0,Family
2025-07-30,7:00 PM,Debit,Domino's Pizza,345.0,Dinner
2025-07-30,9:30 PM,Credit,Shruti R,700.0,Group Split
2025-07-31,10:00 AM,Debit,Amazon,1599.0,Shopping
2025-07-31,12:45 PM,Debit,Café Coffee Day,190.0,Snacks
2025-08-01,8:00 AM,Credit,Freelance Client,4500.0,Work Income
2025-08-01,5:45 PM,Debit,Uber,230.0,Travel
2025-08-02,10:30 AM,Debit,Rent,7000.0,House Rent
